event_id,session_id,event_time,user_id,account_type,dept,role,device_id,device_new_flag,ip_region,event_type,action_object,object_type,object_domain,sensitivity_level,query_count,access_count,cross_table_count,cross_domain_count,export_count,file_size_mb,print_pages,screenshot_count,external_send_count,copy_count,target_path_type,usb_registered_flag,approval_flag,business_flag,case_id,task_id,cross_dept_flag,off_work_flag,deviation_person,deviation_role,sensitive_hit_ratio,unique_id_ratio,data_mask_flag,keep_days,compress_flag,encrypt_flag,delete_flag,tool_abnormal_flag
E00000011,S00000007,2026-04-20 10:47:15,U0002,内部,网安,民警,D0002B,0,北京,query,人口信息查询,表,人口,3,15,4,0,1,0,0.0,0,0,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,0.19,0.17,0.2,0.05,1,0,0,0,0,0
E00000012,S00000011,2026-04-20 10:48:35,U0003,内部,科信,管理员,D0003A,0,北京,query,系统信息查询,表,系统,2,22,4,2,1,0,0.0,0,0,0,0,本地,1,1,1,C202604200003,T202604200003,0,0,0.73,0.63,0.17,0.08,1,0,0,0,0,0
E00000013,S00000007,2026-04-20 10:49:14,U0002,内部,网安,民警,D0002B,0,北京,export,人口数据导出,文件,人口,3,0,0,0,0,2,2.92,0,0,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,1.0,1.0,0.11,0.03,1,0,0,0,0,0
E00000014,S00000011,2026-04-20 10:50:14,U0003,内部,科信,管理员,D0003A,0,北京,copy,文件复制,文件,系统,2,0,0,0,0,0,0.0,0,0,0,1,本地,1,1,1,C202604200003,T202604200003,0,0,1.0,1.0,0.15,0.02,1,0,0,0,0,0
E00000015,S00000016,2026-04-20 11:45:49,U0005,外包,外协,外包人员,D0005A,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200005,T202604200005,0,0,1.0,1.0,0.22,0.12,1,0,0,0,0,0
E00000016,S00000016,2026-04-20 11:47:48,U0005,外包,外协,外包人员,D0005A,0,北京,query,人口信息查询,表,人口,2,18,2,2,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200005,T202604200005,0,0,1.0,0.9,0.19,0.02,1,0,0,0,0,0
E00000017,S00000014,2026-04-20 12:12:33,U0004,内部,运维,运维,D0004A,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,1.0,1.0,0.12,0.01,1,0,0,0,0,0
E00000018,S00000014,2026-04-20 12:14:45,U0004,内部,运维,运维,D0004A,0,北京,query,系统信息查询,表,系统,2,22,5,2,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,1.1,0.88,0.23,0.06,1,0,0,0,0,0
E00000019,S00000006,2026-04-20 12:45:56,U0002,内部,网安,民警,D0002B,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,1.0,1.0,0.07,0.02,1,0,0,0,0,0
E00000020,S00000006,2026-04-20 12:47:30,U0002,内部,网安,民警,D0002B,0,北京,query,车辆信息查询,表,车辆,3,18,5,0,1,0,0.0,0,0,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,0.23,0.2,0.07,0.04,1,0,0,0,0,0
E00000021,S00000006,2026-04-20 12:49:35,U0002,内部,网安,民警,D0002B,0,北京,screenshot,页面截图,页面,车辆,3,0,0,0,0,0,0.0,0,2,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,1.0,1.0,0.02,0.06,1,0,0,0,0,0
E00000022,S00000005,2026-04-20 13:01:48,U0002,内部,网安,民警,D0002A,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,1.0,1.0,0.05,0.02,1,0,0,0,0,0
E00000023,S00000005,2026-04-20 13:03:53,U0002,内部,网安,民警,D0002A,0,北京,query,车辆信息查询,表,车辆,3,15,4,1,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,0.19,0.17,0.09,0.09,1,0,0,0,0,0
E00000024,S00000005,2026-04-20 13:05:34,U0002,内部,网安,民警,D0002A,0,北京,print,车辆文档打印,文件,车辆,3,0,0,0,0,0,0.0,3,0,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,0.2,1.0,0.12,0.07,1,0,0,0,0,0
E00000025,S00000010,2026-04-20 14:13:59,U0003,内部,科信,管理员,D0003B,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200003,T202604200003,0,0,1.0,1.0,0.17,0.1,1,0,0,0,0,0
E00000026,S00000010,2026-04-20 14:15:32,U0003,内部,科信,管理员,D0003B,0,北京,query,系统信息查询,表,系统,2,15,6,0,1,0,0.0,0,0,0,0,本地,1,1,1,C202604200003,T202604200003,0,0,0.5,0.43,0.21,0.02,1,0,0,0,0,0
E00000027,S00000010,2026-04-20 14:17:58,U0003,内部,科信,管理员,D0003B,0,北京,query,系统信息查询,表,系统,2,13,1,2,1,0,0.0,0,0,0,0,本地,1,1,1,C202604200003,T202604200003,0,0,0.43,0.37,0.06,0.1,1,0,0,0,0,0
E00000028,S00000012,2026-04-20 15:55:20,U0004,内部,运维,运维,D0004A,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,1.0,1.0,0.07,0.07,1,0,0,0,0,0
E00000029,S00000012,2026-04-20 15:57:36,U0004,内部,运维,运维,D0004A,0,北京,query,系统信息查询,表,系统,2,16,2,0,1,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,0.8,0.64,0.15,0.04,1,0,0,0,0,0
E00000030,S00000012,2026-04-20 15:59:40,U0004,内部,运维,运维,D0004A,0,北京,query,系统信息查询,表,系统,2,19,4,2,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,0.95,0.76,0.13,0.07,1,0,0,0,0,0
E00000031,S00000001,2026-04-20 16:06:24,U0001,内部,刑侦,内勤,D0001A,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,1.0,1.0,0.04,0.06,1,0,0,0,0,0
E00000032,S00000001,2026-04-20 16:08:30,U0001,内部,刑侦,内勤,D0001A,0,北京,query,人口信息查询,表,人口,3,21,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200001,T202604200001,0,0,0.47,0.35,0.04,0.06,1,0,0,0,0,0
E00000033,S00000013,2026-04-20 17:02:14,U0004,内部,运维,运维,D0004A,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,1.0,1.0,0.02,0.1,1,0,0,0,0,0
E00000034,S00000013,2026-04-20 17:04:00,U0004,内部,运维,运维,D0004A,0,北京,query,认证域信息查询,表,认证域,2,6,5,0,1,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,0.3,0.24,0.05,0.08,1,0,0,0,0,0
E00000035,S00000013,2026-04-20 17:06:16,U0004,内部,运维,运维,D0004A,0,北京,screenshot,页面截图,页面,认证域,2,0,0,0,0,0,0.0,0,1,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,1.0,1.0,0.14,0.07,1,0,0,0,0,0
E00000036,S00000015,2026-04-20 17:35:13,U0004,内部,运维,运维,D0004A,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,1.0,1.0,0.14,0.11,1,0,0,0,0,0
E00000037,S00000015,2026-04-20 17:37:20,U0004,内部,运维,运维,D0004A,0,北京,query,认证域信息查询,表,认证域,2,9,4,0,1,0,0.0,0,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,0.45,0.36,0.08,0.07,1,0,0,0,0,0
E00000038,S00000015,2026-04-20 17:38:54,U0004,内部,运维,运维,D0004A,0,北京,print,认证域文档打印,文件,认证域,2,0,0,0,0,0,0.0,11,0,0,0,本地,1,1,1,C202604200004,T202604200004,0,0,5.5,1.0,0.11,0.04,1,0,0,0,0,0
E00000039,S00000004,2026-04-20 17:51:18,U0002,内部,网安,民警,D0002B,0,北京,login,系统登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,1.0,1.0,0.1,0.06,1,0,0,0,0,0
E00000040,S00000004,2026-04-20 17:53:21,U0002,内部,网安,民警,D0002B,0,北京,query,车辆信息查询,表,车辆,3,11,4,2,0,0,0.0,0,0,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,0.14,0.12,0.12,0.1,1,0,0,0,0,0
E00000041,S00000004,2026-04-20 17:54:57,U0002,内部,网安,民警,D0002B,0,北京,screenshot,页面截图,页面,车辆,3,0,0,0,0,0,0.0,0,2,0,0,本地,1,1,1,C202604200002,T202604200002,0,0,1.0,1.0,0.19,0.04,1,0,0,0,0,0
E00000042,S00000003,2026-04-20 21:44:03,U0001,内部,刑侦,内勤,D9476X,1,成都,login,异常登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,1.0,1.0,0.87,0.6,0,0,0,0,0,0
E00000043,S00000003,2026-04-20 21:45:41,U0001,内部,刑侦,内勤,D9476X,1,成都,query,涉案财产高敏查询,表,涉案财产,5,194,30,8,3,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,4.31,3.23,0.75,0.42,0,0,0,0,0,0
E00000044,S00000003,2026-04-20 21:47:37,U0001,内部,刑侦,内勤,D9476X,1,成都,export,涉案财产批量导出,文件,涉案财产,5,0,0,0,0,270,38.82,0,0,0,0,本地,1,0,0,,,0,1,270.0,270.0,0.69,0.72,0,0,0,0,0,0
E00000045,S00000017,2026-04-20 22:25:23,U0005,外包,外协,外包人员,D9365X,1,深圳,login,异常登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,1.0,1.0,0.77,0.47,0,0,0,0,0,0
E00000046,S00000017,2026-04-20 22:27:21,U0005,外包,外协,外包人员,D9365X,1,深圳,query,涉案财产高敏查询,表,涉案财产,4,108,26,4,3,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,6.0,5.4,0.67,0.73,0,0,0,0,0,0
E00000047,S00000017,2026-04-20 22:29:29,U0005,外包,外协,外包人员,D9365X,1,深圳,screenshot,敏感页面截图,页面,涉案财产,4,0,0,0,0,0,0.0,0,19,6,0,本地,1,0,0,,,0,1,1.0,1.0,0.62,0.63,0,0,0,0,0,0
E00000048,S00000017,2026-04-20 22:31:47,U0005,外包,外协,外包人员,D9365X,1,深圳,external_send,敏感文件外发,文件,涉案财产,4,0,0,0,0,0,0.0,0,0,5,0,网盘,1,0,0,,,0,1,1.0,1.0,0.76,0.51,0,0,0,0,0,0
E00000049,S00000017,2026-04-20 22:33:31,U0005,外包,外协,外包人员,D9365X,1,深圳,copy,敏感文件拷贝,文件,涉案财产,4,0,0,0,0,0,251.69,0,0,2,19,共享目录,1,0,0,,,0,1,1.0,1.0,0.83,0.46,0,0,0,0,0,0
E00000050,S00000009,2026-04-20 22:35:14,U0003,内部,科信,管理员,D9627X,1,广州,login,异常登录,系统,认证域,1,0,1,0,0,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,1.0,1.0,0.87,0.35,0,0,0,0,0,0
E00000051,S00000009,2026-04-20 22:37:04,U0003,内部,科信,管理员,D9627X,1,广州,query,通信高敏查询,表,通信,4,146,24,9,5,0,0.0,0,0,0,0,本地,1,0,0,,,0,1,4.87,4.17,0.56,0.39,0,0,0,0,0,0
E00000052,S00000009,2026-04-20 22:39:03,U0003,内部,科信,管理员,D9627X,1,广州,export,通信批量导出,文件,通信,4,0,0,0,0,96,125.82,0,0,0,0,本地,1,0,0,,,0,1,96.0,96.0,0.69,0.74,0,0,0,0,0,0
